Name,Mass (MJ),Radius (RJ),Distance (ly)
Kepler-710b,0.168,4.34728553,
Kepler-711b,0.304,23.58914398,
Kepler-712b,0.304,21.02247699,
Kepler-712c,0.433,226.89047,
Kepler-713b,0.221,7.411141,
Kepler-714b,0.863,8.09888799,
Kepler-715b,0.335,10.00652995,
Kepler-716b,0.259,10.37168453,
Kepler-717b,0.216,4.40840023,
Kepler-718b,1.477,2.0523499,
Kepler-719b,0.76,5.00731778,
Kepler-720b,0.75,4.70832654,
Kepler-721b,0.236,5.39202539,
Kepler-722b,0.235,4.09357325,
Kepler-722c,0.252,105.144749,
Kepler-723b,1.088,4.08227507,
Kepler-724b,0.294,3.31494634,
Kepler-725b,0.948,39.64317811,
Kepler-726b,0.291,21.80451088,
Kepler-727b,0.226,5.15448442,
Kepler-728b,0.298,5.74347727,
Kepler-729b,0.319,3.16635371,
Kepler-730b,0.822,6.49168426,
Kepler-731b,1.238,3.85560355,
Kepler-732b,0.194,9.46781405,
Kepler-732c,0.113,0.89304124,
Kepler-733b,0.252,20.83424726,
Kepler-734b,0.318,6.10485286,
Kepler-735b,0.263,11.51516988,
Kepler-736b,0.261,3.60147201,
Kepler-737b,0.175,28.59915399,
Kepler-738b,0.223,24.58721573,
Kepler-739b,0.296,12.53248465,
Kepler-740b,0.408,3.58410122,
Kepler-741b,0.265,7.03902374,
Kepler-742b,0.289,8.36086824,
Kepler-743b,0.108,3.17926292,
Kepler-744b,0.145,12.06222443,
Kepler-745b,0.193,9.93143556,
Kepler-746b,0.099,3.48159251,
Kepler-747b,0.47,35.61760587,
Kepler-748b,0.225,7.40742793,
Kepler-749b,0.277,17.31716585,
Kepler-750b,0.274,9.42887179,
Kepler-750c,0.145,4.08899022,
Kepler-751b,0.219,17.44490636,
Kepler-752b,0.251,18.82747265,
Kepler-753b,0.17,5.74772501,
Kepler-754b,0.179,14.5596237,
Kepler-755b,0.157,1.26909037,
Kepler-755c,0.112,2.85313364,
Kepler-756b,0.1,1.22486632,
Kepler-757b,0.121,1.02267882,
Kepler-758b,0.221,12.1097104,
Kepler-758c,0.151,4.75793986,
Kepler-758d,0.189,20.4966197,
Kepler-758e,0.136,8.1934719,
Kepler-759b,0.203,41.805985,
Kepler-760b,0.273,8.70419416,
Kepler-760c,0.132,2.46697439,
Kepler-761b,0.181,10.12804789,
Kepler-762b,1.131,3.7705521,
Kepler-763b,0.109,1.19655156,
Kepler-764b,0.146,7.33683936,
Kepler-765b,0.217,27.6655226,
Kepler-766b,0.302,6.10027804,
Kepler-767b,0.592,161.5280101,
Kepler-768b,0.16,11.3910025,
Kepler-769b,0.261,7.42608998,
Kepler-769c,0.16,15.9870174,
Kepler-770b,0.205,18.92540274,
Kepler-770c,0.107,1.47532231,
Kepler-770d,0.125,4.15244722,
Kepler-771b,0.162,8.73485836,
Kepler-772b,0.162,12.99207337,
Kepler-773b,0.128,3.74910006,
Kepler-774b,0.283,11.0895723,
Kepler-775b,0.106,0.97486893,
Kepler-776b,0.114,4.89718784,
Kepler-777b,0.131,5.72812599,
Kepler-778b,0.15,3.75574426,
Kepler-779b,0.082,7.09714223,
Kepler-780b,0.079,0.67737516,
Kepler-781b,0.258,13.2140732,
Kepler-782b,0.286,158.6853308,
Kepler-783b,0.07,4.29264638,
Kepler-784b,0.141,31.5922646,
Kepler-785b,1.162,1.97376093,
Kepler-786b,0.217,53.5293487,
Kepler-787b,0.114,0.9283105,
Kepler-788b,0.227,8.39846269,
Kepler-789b,0.189,8.63847725,
Kepler-790b,0.194,13.73469807,
Kepler-791b,0.272,14.5539759,
Kepler-792b,0.175,11.30119217,
Kepler-793b,0.122,4.24153639,
Kepler-794b,0.188,11.13125132,
Kepler-795b,0.15,29.6193421,
Kepler-796b,0.116,6.40087618,
Kepler-797b,0.194,27.07237711,
Kepler-798b,0.213,13.71933369,
Kepler-799b,0.614,133.4605235,
Kepler-800b,0.254,14.13176026,
Kepler-801b,0.178,11.41928253,
Kepler-802b,0.316,40.0587473,
Kepler-803b,0.338,50.28638192,
Kepler-804b,0.173,14.37457351,
Kepler-804c,0.102,9.65185017,
Kepler-805b,0.258,30.8638931,
Kepler-806b,0.102,8.09219642,
Kepler-807b,0.93,117.93108781,
Kepler-808b,0.13,0.63133235,
Kepler-809b,0.269,55.63934,
Kepler-810b,0.172,4.59725385,
Kepler-811b,0.241,23.58447697,
Kepler-812b,0.317,10.11716531,
Kepler-813b,0.191,19.12947337,
Kepler-814b,0.189,6.1469851,
Kepler-815b,0.367,8.57503552,
Kepler-816b,0.914,10.50682565,
Kepler-817b,0.806,3.99010623,
Kepler-818b,0.456,10.03538581,
Kepler-819b,0.246,33.1995648,
Kepler-820b,0.543,127.8338098,
Kepler-821b,0.117,1.92279873,
Kepler-822b,0.158,3.22296927,
Kepler-823b,0.14,4.16809082,
Kepler-824b,0.167,4.51436633,
Kepler-825b,0.136,3.77360059,
Kepler-825c,0.164,8.1818246,
Kepler-826b,0.112,4.48758907,
Kepler-827b,0.502,51.92927591,
Kepler-828b,0.135,0.56785714,
Kepler-829b,0.188,6.88337562,
Kepler-830b,0.152,11.29695137,
Kepler-831b,0.113,5.62153941,
Kepler-832b,0.184,7.1396941,
Kepler-833b,0.18,18.7546998,
Kepler-834b,0.18,13.32388301,
Kepler-835b,0.249,11.41909375,
Kepler-836b,0.244,11.36112327,
Kepler-837b,0.228,16.56059504,
Kepler-838b,0.244,15.74957994,
Kepler-839b,0.229,37.8144514,
Kepler-840b,1.523,2.49577962,
Kepler-841b,0.467,124.4198398,
Kepler-842b,0.143,1.21956827,
Kepler-843b,0.231,2.05387982,
Kepler-844b,0.15,2.61302086,
Kepler-845b,0.182,0.92785982,
Kepler-846b,0.221,19.80792185,
Kepler-847b,0.105,2.3432319,
Kepler-848b,0.152,6.91134416,
Kepler-849b,0.637,394.6244904,
Kepler-850b,0.159,7.19303878,
Kepler-851b,0.15,8.50699658,
Kepler-852b,0.227,44.9309804,
Kepler-853b,0.151,7.16892463,
Kepler-854b,1.492,2.14463285,
Kepler-855b,0.745,7.8866311,
Kepler-856b,0.83,8.02768059,
Kepler-857b,0.607,85.35129427,
Kepler-858b,0.434,76.13602028,
Kepler-859b,0.276,20.38177573,
Kepler-860b,0.289,5.10137945,
Kepler-861b,0.203,3.94963138,
Kepler-862b,0.197,3.14866453,
Kepler-863b,0.259,15.59461874,
Kepler-864b,0.214,5.83376092,
Kepler-865b,0.222,14.16399294,
Kepler-866b,0.145,2.61703254,
Kepler-867b,0.414,150.242127,
Kepler-868b,0.183,5.03251791,
Kepler-869b,0.322,40.4287755,
Kepler-870b,0.248,21.3587621,
Kepler-871b,0.334,22.0459018,
Kepler-872b,0.178,2.57885507,
Kepler-873b,0.335,20.5533844,
Kepler-874b,0.352,40.0686727,
Kepler-875b,0.259,27.5073799,
Kepler-876b,0.128,5.14438011,
Kepler-877b,0.189,18.45847097,
Kepler-878b,0.172,25.9422033,
Kepler-879b,0.229,33.3855938,
Kepler-880b,0.237,7.71468975,
Kepler-881b,0.159,4.44448017,
Kepler-882b,0.11,3.98953967,
Kepler-883b,0.159,12.98495573,
Kepler-884b,0.11,5.69919514,
Kepler-885b,0.223,18.11472949,
Kepler-886b,0.136,6.24146367,
Kepler-887b,0.164,20.42228798,
Kepler-887c,0.101,7.63846023,
Kepler-888b,0.157,70.6979061,
Kepler-889b,0.097,3.744439,
Kepler-890b,0.793,52.75875577,
Kepler-891b,0.572,53.44945593,
Kepler-892b,0.251,13.7521072,
Kepler-893b,0.27,6.33855761,
Kepler-894b,0.248,9.803224,
Kepler-895b,0.137,2.80624233,
Kepler-896b,0.226,144.547396,
Kepler-897b,0.213,8.0472642,
Kepler-898b,0.133,5.8706191,
Kepler-899b,0.239,19.17891293,
Kepler-900b,0.186,6.9913086,
Kepler-901b,0.122,3.51749439,
Kepler-902b,0.227,40.1099547,
Kepler-903b,0.179,10.3507721,
Kepler-903c,0.226,62.9228557,
Kepler-904b,0.158,3.02166863,
Kepler-905b,0.126,5.08274652,
Kepler-906b,0.188,41.6979976,
Kepler-907b,0.107,15.86621821,
Kepler-908b,0.109,1.34059747,
Kepler-909b,0.131,13.93290318,
Kepler-910b,0.073,2.36436901,
Kepler-911b,0.232,20.310501,
Kepler-912b,0.25,2.53475627,
Kepler-913b,0.184,10.29672521,
Kepler-914b,0.123,4.40966548,
Kepler-915b,0.134,4.59489604,
Kepler-916b,0.157,32.2968798,
Kepler-917b,0.17,2.97041437,
Kepler-918b,0.155,4.85386933,
Kepler-919b,0.201,11.04603384,
Kepler-920b,0.216,6.53192704,
Kepler-920c,0.339,100.8274113,
Kepler-921b,0.256,51.300634,
Kepler-922b,0.127,0.93846683,
Kepler-923b,0.123,6.93366476,
Kepler-924b,0.274,61.0370117,
Kepler-925b,0.209,33.8678531,
Kepler-926b,0.206,52.0688601,
Kepler-927b,0.153,9.1149903,
Kepler-928b,0.142,3.9324613,
Kepler-929b,0.099,0.92103214,
Kepler-930b,0.19,71.4517775,
Kepler-931b,0.119,8.03755877,
Kepler-932b,0.122,1.9214374,
Kepler-933b,0.219,14.20443009,
Kepler-934b,0.186,55.6738309,
Kepler-935b,0.12,4.88083852,
Kepler-936b,0.129,10.56134221,
Kepler-937b,0.332,67.668827,
Kepler-937c,0.238,153.343364,
Kepler-938b,0.198,52.6298417,
Kepler-939b,0.156,14.878296,
Kepler-940b,0.298,59.6225257,
Kepler-941b,0.275,17.42395198,
Kepler-942b,0.19,44.96417488,
Kepler-943b,0.529,49.7701438,
Kepler-944b,0.235,43.3167737,
Kepler-945b,0.235,31.0033814,
Kepler-946b,0.172,11.79162572,
Kepler-947b,0.203,26.9644317,
Kepler-948b,0.165,7.76846622,
Kepler-949b,0.26,8.6893073,
Kepler-950b,0.801,98.7180406,
Kepler-951b,0.499,71.52530845,
Kepler-952b,0.682,130.3546919,
Kepler-953b,0.376,88.40655258,
Kepler-953c,0.106,9.10967112,
Kepler-954b,0.207,16.78176602,
Kepler-955b,0.279,14.53244172,
Kepler-956b,0.268,5.24867263,
Kepler-957b,0.491,5.90741354,
Kepler-958b,0.184,9.7678805,
Kepler-959b,0.391,14.80074836,
Kepler-960b,0.204,3.12686223,
Kepler-961b,0.227,16.87727414,
Kepler-962b,0.176,12.05707239,
Kepler-963b,0.237,9.97683705,
Kepler-964b,0.189,13.5225106,
Kepler-965b,0.302,134.2527298,
